Sector,Bank,Qtr,OUTSTANDING No. AT THE END OF THE PREVIOUS QUARTER,OUTSTANDING AMOUNT AT THE END OF THE PREVIOUS QUARTER,No. OF APPLICATION RECEIVED DURING THE QUARTER,No. OF APPLICATIONS SANCTIONED DURING THE QUARTER,TOTAL AMOUNT SANCTIONED DURING THE QUARTER,No. OF  DISBURSALS DURING THE QUARTER,TOTAL AMOUNT  DISBURSED DURING THE QUARTER,OUTSTANDING No. AT THE END OF THE QUARTER,TOTAL OUTSTANDING AMOUNT AT THE END OF THE QUARTER
Government,STATE BANK GROUP,01-Jun-09,320788,342167.6,70278,56643,58152,48614,54614,360000.00,388752.37
Government,STATE BANK GROUP,01-Sep-09,360000,388752.37,70865,44854,22747,28963,17924,388052.00,410408.55
Government,STATE BANK GROUP,01-Mar-10,357641,444977.76,41905,36404,18728,27467,13286,369577.00,456067.47
Government,STATE BANK GROUP,01-Jun-10,369577,456067.47,12687,8316,25358,5155,22995,388141.00,536968.39
Government,STATE BANK GROUP,01-Sep-10,388141,536968.39,10240,6966,24479.2,4755,22698.2,460167.00,650314.66
Government,STATE BANK GROUP,01-Dec-10,460167,650314.66,27326,23470,45165.8,21754,43116.8,480292.00,684060.66
Government,STATE BANK GROUP,01-Mar-11,480292,684060.66,29820,26337,31996,22372,26230,492891.00,680782.74
Government,STATE BANK GROUP,01-Jun-11,492891,680782.74,76778,72063,18865.34,71321,17468.42,563454.00,766432.47
Government,STATE BANK GROUP,01-Sep-11,563454,766432.47,14871,12228,21825.9,11612,19331.98,564485.00,780728.51
Government,STATE BANK GROUP,01-Dec-11,564485,780728.51,26723,25144,33693.56,25114,31329.08,586733.00,813721.08
Government,STATE BANK GROUP,01-Mar-12,586733,813721.08,105813,104507,228772.3,103608,227583.6,648276.00,1005788.56
Government,STATE BANK GROUP,01-Jun-12,648276,1005788.56,92851,79814,56922.65,88166,72450.95,644352.00,761119.57
Government,STATE BANK GROUP,01-Sep-12,644352,761119.57,51869,38955,24704.4,25590,21582.31,717610.00,1308304.86
Government,STATE BANK GROUP,01-Dec-12,,,,,,,,,
Government,STATE BANK GROUP,01-Mar-13,821870,1354153.71,69226,66824,219265.55,66783,219548.55,854415.00,1470795.28
Government,STATE BANK GROUP,01-Jun-13,854415,1470795.28,32269,29469,8810.35,26098,8627.95,874318.00,1608831.58
Government,STATE BANK GROUP,01-Sep-13,874318,1608831.58,17631,16340,28988.14,16320,26224.99,881092.00,1616924.59
Government,STATE BANK GROUP,01-Dec-13,881092,1616924.59,9318,9141,23110.9,9141,21999.9,867849.00,1608867.28
Government,STATE BANK GROUP,01-Mar-14,867849,1608867.28,51782,49130,33698.2,47695,32035.12,922148.00,1637979.88
Government,STATE BANK GROUP,01-Jun-14,922148,1637979.88,50846,49942,56898.25,49717,54172.82,968740.00,1674695.49
Government,STATE BANK GROUP,01-Sep-14,968740,1674695.49,81466,5553,10518.78,2529,9498.64,987195.00,1702296.78
Government,STATE BANK GROUP,01-Dec-14,987195,1702296.78,82570,7594,9525.02,5836,8671.02,979050.00,1653569
Government,STATE BANK GROUP,01-Mar-15,979050,1653569,,,,,,1906174.00,3901656.84
Government,STATE BANK GROUP,01-Jun-15,1906174,3901656.84,406235,402389,900159.89,402034,887813.89,1681124.00,1942631
Government,STATE BANK GROUP,01-Sep-15,1681124,1942631,346979,343597,469214,343405,461998,1391739.00,1809060
Government,STATE BANK GROUP,01-Dec-15,1391739,1809060,329408,291870,451584.11,287205,442313.4,1336348.00,1642066.71
Government,STATE BANK GROUP,01-Mar-16,28407,61088,770,770,2588,759,2545,29166.00,63633
Government,STATE BANK GROUP,01-Jun-16,29166,63633,680,680,2322,680,2077,29846.00,65710
Government,STATE BANK GROUP,01-Sep-16,29846,6571000,620,620,202900,600,1749,30446.00,67459
Government,STATE BANK GROUP,01-Dec-16,30446,67459,337,337,883,397,795,30964.00,68424
Government,STATE BANK GROUP,01-Mar-17,,,,,,,,,
Government,STATE BANK GROUP,01-Jun-17,,,,,,,,,
Government,STATE BANK GROUP,01-Sep-17,1138121,2164113,34135,34135,33651,34135,33208,1134158.00,2162458
Government,STATE BANK GROUP,01-Dec-17,1134158,2162458,29535,29535,29309,29535,28940,1148101.00,2176642
Government,STATE BANK GROUP,01-Mar-18,1148101,2176642,28155,28155,28253,28008,26848,1158995.00,2189204
Government,STATE BANK GROUP,01-Jun-18,1158995,2189204,18477,18477,19860,18463,17782,1162969.00,2191558
Government,ALLAHABADBANK,01-Jun-09,428,642.53,17,15,18.2,15,11.8,432.00,632.24
Government,ALLAHABADBANK,01-Sep-09,432,632.24,35,35,28.38,30,23.98,432.00,632.24
Government,ALLAHABADBANK,01-Mar-10,432,632.34,67,67,58.85,67,58.85,480.00,632.34
Government,ALLAHABADBANK,01-Jun-10,480,632.34,5,5,13,5,13,432.00,632.34
Government,ALLAHABADBANK,01-Sep-10,432,632.34,5,5,13,5,13,437.00,635.84
Government,ALLAHABADBANK,01-Dec-10,437,635.84,23,23,79.07,9,16.5,446.00,652.34
Government,ALLAHABADBANK,01-Mar-11,446,652.34,54,54,1483.8,52,1396.66,1171.00,5824.65
Government,ALLAHABADBANK,01-Jun-11,1171,5824.65,67,67,403.85,67,224.8,1529.00,6269.37
Government,ALLAHABADBANK,01-Sep-11,1529,6269.37,20,20,48,18,46.8,467.00,909.55
Government,ALLAHABADBANK,01-Dec-11,467,909.55,52,52,65,50,63,528.00,924.95
Government,ALLAHABADBANK,01-Mar-12,528,924.95,106,106,121.5,104,119.5,563.00,1272.63
Government,ALLAHABADBANK,01-Jun-12,563,1272.63,103,103,118.5,101,116.5,560.00,1269.63
Government,ALLAHABADBANK,01-Sep-12,560,1269.63,78,69,116.4,69,116.4,660.00,1501.74
Government,ALLAHABADBANK,01-Dec-12,660,1501.74,,,,,,660.00,1501.74
Government,ALLAHABADBANK,01-Mar-13,660,1501.74,37,26,108.3,26,108.3,694.00,1435.6
Government,ALLAHABADBANK,01-Jun-13,694,1435.6,46,42,207,42,207,603.00,1358
Government,ALLAHABADBANK,01-Sep-13,603,1358,12,7,18.15,12,16.5,600.00,1267.56
Government,ALLAHABADBANK,01-Dec-13,600,1267.56,25,12,56.53,12,53.43,591.00,1263.28
Government,ALLAHABADBANK,01-Mar-14,591,1263.28,32,30,111.48,20,95.85,597.00,1241.29
Government,ALLAHABADBANK,01-Jun-14,597,1241.29,0,0,0,0,0,0.00,1300
Government,ALLAHABADBANK,01-Sep-14,0,1300,28,28,100,25,83,115.00,633
Government,ALLAHABADBANK,01-Dec-14,115,633,28,28,100,25,83,115.00,633
Government,ALLAHABADBANK,01-Mar-15,115,633,,,,,,4736.00,34158.11
Government,ALLAHABADBANK,01-Jun-15,4736,34158.11,703,703,3602,703,3602,5304.00,36418
Government,ALLAHABADBANK,01-Sep-15,5304,36418,5,5,4,214,1829,5634.00,40141
Government,ALLAHABADBANK,01-Dec-15,5634,40141,4,4,3.09,202,1736,5657.00,40169.32
Government,ALLAHABADBANK,01-Mar-16,2869,27309.86,174,174,2821.5,174,2415.44,3043.00,30136.35
Government,ALLAHABADBANK,01-Jun-16,3043,30136.35,679,545,3534,628,3150,3671.00,33286.35
Government,ALLAHABADBANK,01-Sep-16,3671,33286.35,441,362,2623,293,2285,3964.00,36054.75
Government,ALLAHABADBANK,01-Dec-16,3964,36054.75,0,0,0,0,0,3964.00,36054.75
Government,ALLAHABADBANK,01-Mar-17,,,,,,,,,
Government,ALLAHABADBANK,01-Jun-17,,,,,,,,,
Government,ALLAHABADBANK,01-Sep-17,4561,39100.69,193,193,222,193,188,4754.00,39289
Government,ALLAHABADBANK,01-Dec-17,4754,39289,35,35,62,29,22,4782.00,39276
Government,ALLAHABADBANK,01-Mar-18,4782,39276,145,145,648,145,512,4927.00,39787
Government,ALLAHABADBANK,01-Jun-18,4927,39787,129,129,687,129,687,5052.00,40466
Government,ANDHRA BANK,01-Jun-09,918,773.04,84,84,267,84,267,1002.00,1115.75
Government,ANDHRA BANK,01-Sep-09,1002,1115.75,35,29,30,28,23,1041.00,971
Government,ANDHRA BANK,01-Mar-10,1041,971,20,20,17.52,18,10.05,1348.00,1175.06
Government,ANDHRA BANK,01-Jun-10,1348,1175.06,0,0,0,0,0,1041.00,971
Government,ANDHRA BANK,01-Sep-10,1041,971,0,0,0,0,0,1050.00,1183.62
Government,ANDHRA BANK,01-Dec-10,1050,1183.62,87,85,70.04,85,64.79,722.00,849.28
Government,ANDHRA BANK,01-Mar-11,722,849.28,95,91,65.97,85,63.59,851.00,1007.91
Government,ANDHRA BANK,01-Jun-11,851,1007.91,42,30,16.01,25,13.02,398.00,329
Government,ANDHRA BANK,01-Sep-11,398,329,49,40,19.46,26,8.26,412.00,342.66
Government,ANDHRA BANK,01-Dec-11,412,342.66,68,61,82.05,57,38.05,359.00,308.7
Government,ANDHRA BANK,01-Mar-12,359,308.7,44,40,114,34,57.4,309.00,693.75
Government,ANDHRA BANK,01-Jun-12,309,693.75,44,40,114,34,57.4,336.00,717.26
Government,ANDHRA BANK,01-Sep-12,336,717.26,44,40,114,34,57.1,380.00,870
Government,ANDHRA BANK,01-Dec-12,380,870,,,,,,380.00,870
Government,ANDHRA BANK,01-Mar-13,380,870,5,5,9,5,9,379.00,877
Government,ANDHRA BANK,01-Jun-13,379,877,30,30,22,30,22,402.00,677.82
Government,ANDHRA BANK,01-Sep-13,402,677.82,41,41,21.85,41,21.85,342.00,699.67
Government,ANDHRA BANK,01-Dec-13,342,699.67,16,16,13,16,13,301.00,678
Government,ANDHRA BANK,01-Mar-14,301,678,66,66,37.47,66,36.47,408.00,736.14
Government,ANDHRA BANK,01-Jun-14,408,736.14,101,63,116,101,161,727.00,1402
Government,ANDHRA BANK,01-Sep-14,727,1402,133,133,207,133,191,702.00,1434.62
Government,ANDHRA BANK,01-Dec-14,702,1434.62,99,99,179,97,152,587.00,1073
Government,ANDHRA BANK,01-Mar-15,587,1073,,,,,,914.00,1620.11
Government,ANDHRA BANK,01-Jun-15,914,1620.11,158,158,272.28,143,155.28,983.00,1783
Government,ANDHRA BANK,01-Sep-15,983,1783,49,49,96,49,96,1032.00,1880
Government,ANDHRA BANK,01-Dec-15,1032,1880,94,94,162.36,94,162.36,1126.00,2011.9
Government,ANDHRA BANK,01-Mar-16,1126,2011.9,115,115,175.08,115,175.08,1241.00,2186.98
Government,ANDHRA BANK,01-Jun-16,1241,2186.98,66,66,79.51,66,79.51,1307.00,2266.47
Government,ANDHRA BANK,01-Sep-16,1307,2266.47,56,56,68.97,56,69,1363.00,2335
Government,ANDHRA BANK,01-Dec-16,1363,2335,6,6,11,6,11,1369.00,2346
Government,ANDHRA BANK,01-Mar-17,,,,,,,,,
Government,ANDHRA BANK,01-Jun-17,,,,,,,,,
Government,ANDHRA BANK,01-Sep-17,1356,2156,73,73,92,73,87,1429.00,2243
Government,ANDHRA BANK,01-Dec-17,1429,2243,36,36,61,36,56,1473.00,2324
Government,ANDHRA BANK,01-Mar-18,1473,2324,29,29,55,29,42,1646.00,2533
Government,ANDHRA BANK,01-Jun-18,1646,2533,37,37,52,41,54,1762.00,2636
Government,BANK OF BARODA,01-Jun-09,11702,12075.11,1094,1094,1582.86,1094,1413.6,11299.00,12665.99
Government,BANK OF BARODA,01-Sep-09,11299,12665.99,1054,1054,1627.46,1054,1627.46,11292.00,13589
Government,BANK OF BARODA,01-Mar-10,10777,14107.48,1627,1627,2501.75,1627,2148.79,11052.00,15918.75
Government,BANK OF BARODA,01-Jun-10,11052,15918.75,1728,1728,2182.27,1728,1990.94,13622.00,16396.15
Government,BANK OF BARODA,01-Sep-10,13622,16396.15,2143,2143,3579,2143,3307,12738.00,17201
Government,BANK OF BARODA,01-Dec-10,12738,17201,6225,6225,971,6219,882,13114.00,19260.06
Government,BANK OF BARODA,01-Mar-11,13114,19260.06,2981,2981,4209.1,2981,4022.1,15449.00,21824.11
Government,BANK OF BARODA,01-Jun-11,15449,21824.11,3008,3008,4088,3008,3875,15696.00,24360
Government,BANK OF BARODA,01-Sep-11,15696,24360,4517,4517,6646,4517,6258,17709.00,28104
Government,BANK OF BARODA,01-Dec-11,17709,28104,5213,5183,8416,5213,7894,20241.00,32811
Government,BANK OF BARODA,01-Mar-12,20241,32811,5982,5981,9110,5981,8955,22988.00,38307.2
Government,BANK OF BARODA,01-Jun-12,22988,38307.2,6969,6969,11489,6969,11098,26093.00,44244
Government,BANK OF BARODA,01-Sep-12,26093,44244,6883,6883,12112,6883,11668.47,28899.00,51016
Government,BANK OF BARODA,01-Dec-12,28899,51016,,,,,,28330.00,50256
Government,BANK OF BARODA,01-Mar-13,28330,50256,6470,6470,8677,6198,8338,28278.00,49766
Government,BANK OF BARODA,01-Jun-13,28278,49766,1721,1721,2430,1720,2335,27155.00,42663.96
Government,BANK OF BARODA,01-Sep-13,27155,42663.96,4529,4529,6947.93,4544,6314.29,23892.00,41213.61
Government,BANK OF BARODA,01-Dec-13,23892,41213.61,1833,1833,2540.08,1833,2438.75,25200.00,42663.96
Government,BANK OF BARODA,01-Mar-14,25200,42663.96,5804,5804,8716.35,5818,7703.99,22569.00,40633.64
Government,BANK OF BARODA,01-Jun-14,22569,40633.64,4614,4614,6732,4626,6230,21679.00,39782.01
Government,BANK OF BARODA,01-Sep-14,21679,39782.01,4624,4624,6764,4636,6268,22038.00,42224.53
Government,BANK OF BARODA,01-Dec-14,22038,42224.53,5380,5380,8189,5387,7731,22935.00,44404
Government,BANK OF BARODA,01-Mar-15,22935,44404,,,,,,67700.00,274611
Government,BANK OF BARODA,01-Jun-15,67700,274611,10713,10713,26052.36,10713,19711.32,68289.00,47998
Government,BANK OF BARODA,01-Sep-15,68289,47998,4726,4726,6626,4726,6068,21419.00,39535
Government,BANK OF BARODA,01-Dec-15,21419,39535,5157,5157,6467.38,5157,5898.09,21485.00,38581.6
Government,BANK OF BARODA,01-Mar-16,21485,38581.6,4841,4841,6984.74,4841,6457.99,20388.00,37497.16
Government,BANK OF BARODA,01-Jun-16,20388,37497.16,4399,4399,5017.96,4399,4891.59,20934.00,39457.78
Government,BANK OF BARODA,01-Sep-16,20934,39457.78,3703,3703,4721.8,3703,4721,21117.00,39742.7
Government,BANK OF BARODA,01-Dec-16,21117,39742.7,3211,3211,3705,3211,3705,2096.00,42978
Government,BANK OF BARODA,01-Mar-17,,,,,,,,,
Government,BANK OF BARODA,01-Jun-17,,,,,,,,,
Government,BANK OF BARODA,01-Sep-17,24622,48340,1593,1593,2435,1593,2435,25648.00,50044
Government,BANK OF BARODA,01-Dec-17,25648,50044,1181,1181,2154,1166,2271,25995.00,50546
Government,BANK OF BARODA,01-Mar-18,25995,50546,1231,1231,2234,1208,2206,27435.00,52274
Government,BANK OF BARODA,01-Jun-18,27435,52274,285,285,654,285,537,27739.00,52728
Government,BANK OF INDIA,01-Jun-09,1955,3959.62,152,152,648.48,152,648.48,2061.00,4558.69
Government,BANK OF INDIA,01-Sep-09,2061,4558.69,87,87,141.12,73,59.25,1943.00,3097.83
Government,BANK OF INDIA,01-Mar-10,1533,2951.45,108,102,22.9,100,22.3,1875.00,3195.23
Government,BANK OF INDIA,01-Jun-10,1875,3195.23,40,40,67,38,65,1892.00,3219.3
Government,BANK OF INDIA,01-Sep-10,1892,3219.3,118,118,51,118,51,1941.00,3266.47
Government,BANK OF INDIA,01-Dec-10,1941,3266.47,116,116,134,116,106,2156.00,3372.47
Government,BANK OF INDIA,01-Mar-11,2156,3372.47,837,837,2435,837,2148,2409.00,3561
Government,BANK OF INDIA,01-Jun-11,2409,3561,238,238,655,238,654,2118.00,3419
Government,BANK OF INDIA,01-Sep-11,2118,3419,25,21,32,21,32,1831.00,2638
Government,BANK OF INDIA,01-Dec-11,1831,2638,29,29,35,29,35,1860.00,2673
Government,BANK OF INDIA,01-Mar-12,1860,2673,34,38,40,38,40,1886.00,2705
Government,BANK OF INDIA,01-Jun-12,1886,2705,39,39,47,39,47,1925.00,2752
Government,BANK OF INDIA,01-Sep-12,1925,2752,485,464,2567.8,464,2092.8,2365.00,5303.2
Government,BANK OF INDIA,01-Dec-12,2365,5303.2,,,,,,2696.00,7078.78
Government,BANK OF INDIA,01-Mar-13,2696,7078.78,533,510,2725.16,510,2724.2,2962.00,8760.85
Government,BANK OF INDIA,01-Jun-13,2962,8760.85,218,218,88,218,81,3088.00,8849.01
Government,BANK OF INDIA,01-Sep-13,3088,8849.01,319,319,103.15,319,98.15,3640.00,8947.16
Government,BANK OF INDIA,01-Dec-13,3640,8947.16,233,233,93.75,233,86.75,3321.00,8849.01
Government,BANK OF INDIA,01-Mar-14,3321,8849.01,276,276,74.87,276,72.19,3916.00,9019.35
Government,BANK OF INDIA,01-Jun-14,3916,9019.35,290,290,91,290,87,4206.00,9107
Government,BANK OF INDIA,01-Sep-14,4206,9107,325,325,104,325,101,4531.00,9012
Government,BANK OF INDIA,01-Dec-14,4531,9012,341,341,120,341,117,4761.00,9041
Government,BANK OF INDIA,01-Mar-15,4761,9041,,,,,,26902.00,56556
Government,BANK OF INDIA,01-Jun-15,26902,56556,906,890,2675,878,2581,27535.00,56451
Government,BANK OF INDIA,01-Sep-15,27535,56451,906,890,2675,878,2581,27535.00,58510
Government,BANK OF INDIA,01-Dec-15,27535,58510,909,888,2659,872,2578,28407.00,61088
Government,BANK OF INDIA,01-Mar-16,28407,61088,770,770,2588,759,2545,29166.00,63633
Government,BANK OF INDIA,01-Jun-16,29166,63633,680,680,2322,680,2077,29846.00,65710
Government,BANK OF INDIA,01-Sep-16,29846,6571000,620,620,202900,600,1749,30446.00,67459
Government,BANK OF INDIA,01-Dec-16,30446,67459,337,337,883,397,795,30964.00,68424
Government,BANK OF INDIA,01-Mar-17,,,,,,,,,
Government,BANK OF INDIA,01-Jun-17,,,,,,,,,
Government,BANK OF INDIA,01-Sep-17,31639,70547,316,316,817,316,740,31703.00,69921
Government,BANK OF INDIA,01-Dec-17,31703,69921,285,285,620,279,403,31954.00,70226
Government,BANK OF INDIA,01-Mar-18,31954,70226,288,288,532,288,376,32520.00,70788
Government,BANK OF INDIA,01-Jun-18,32520,70788,243,243,486,243,380,32665.00,71082
Government,BANK OF MAHARASHTRA,01-Jun-09,467,551,35,35,467,35,342,440.00,543
Government,BANK OF MAHARASHTRA,01-Sep-09,440,543,30,30,768,30,768,505.00,2327
Government,BANK OF MAHARASHTRA,01-Mar-10,577,4225,38,38,63.4,38,63.4,615.00,377.87
Government,BANK OF MAHARASHTRA,01-Jun-10,615,377.87,12,12,161,12,161,433.00,1917
Government,BANK OF MAHARASHTRA,01-Sep-10,433,1917,20,20,18,0,0,392.00,1366.32
Government,BANK OF MAHARASHTRA,01-Dec-10,392,1366.32,40,40,65,40,65,386.00,618.69
Government,BANK OF MAHARASHTRA,01-Mar-11,386,618.69,30,30,60,30,60,351.00,674.23
Government,BANK OF MAHARASHTRA,01-Jun-11,351,674.23,0,0,0,0,0,342.00,648.66
Government,BANK OF MAHARASHTRA,01-Sep-11,342,648.66,0,0,0,0,0,301.00,615.1
Government,BANK OF MAHARASHTRA,01-Dec-11,301,615.1,0,0,0,0,0,305.00,626
Government,BANK OF MAHARASHTRA,01-Mar-12,305,626,0,0,0,0,0,292.00,606
Government,BANK OF MAHARASHTRA,01-Jun-12,292,606,0,0,0,0,0,292.00,606
Government,BANK OF MAHARASHTRA,01-Sep-12,292,606,0,0,0,0,0,292.00,606
Government,BANK OF MAHARASHTRA,01-Dec-12,292,606,,,,,,294.00,609
Government,BANK OF MAHARASHTRA,01-Mar-13,294,609,3,3,6,3,5,297.00,614
Government,BANK OF MAHARASHTRA,01-Jun-13,297,614,0,3,6,3,5,297.00,639
Government,BANK OF MAHARASHTRA,01-Sep-13,297,639,0,0,0,0,0,325.00,639
Government,BANK OF MAHARASHTRA,01-Dec-13,325,639,0,3,6,3,5,297.00,614
Government,BANK OF MAHARASHTRA,01-Mar-14,297,614,0,0,0,0,0,303.00,633
Government,BANK OF MAHARASHTRA,01-Jun-14,303,633,0,0,0,0,0,303.00,633
Government,BANK OF MAHARASHTRA,01-Sep-14,303,633,0,0,0,0,0,303.00,633
Government,BANK OF MAHARASHTRA,01-Dec-14,303,633,0,0,0,0,0,303.00,633
Government,BANK OF MAHARASHTRA,01-Mar-15,303,633,,,,,,302.00,632
Government,BANK OF MAHARASHTRA,01-Jun-15,302,632,0,0,0,0,0,302.00,632
Government,BANK OF MAHARASHTRA,01-Sep-15,302,632,0,0,24,4,0,278.00,628
Government,BANK OF MAHARASHTRA,01-Dec-15,278,628,1,1,4,0,0,419.00,712
Government,BANK OF MAHARASHTRA,01-Mar-16,419,712,1,1,4,0,0,1.00,4
Government,BANK OF MAHARASHTRA,01-Jun-16,1,4,1,1,4,0,0,1.00,4
Government,BANK OF MAHARASHTRA,01-Sep-16,1,4,1,1,4,0,0,1.00,4
Government,BANK OF MAHARASHTRA,01-Dec-16,1,0,0,0,0,0,0,0.00,0
Government,BANK OF MAHARASHTRA,01-Mar-17,,,,,,,,,
Government,BANK OF MAHARASHTRA,01-Jun-17,,,,,,,,,
Government,BANK OF MAHARASHTRA,01-Sep-17,0,0,0,0,0,0,0,0.00,0
Government,BANK OF MAHARASHTRA,01-Dec-17,0,0,0,0,0,0,0,0.00,0
Government,BANK OF MAHARASHTRA,01-Mar-18,0,0,0,0,0,0,0,0.00,0
Government,BANK OF MAHARASHTRA,01-Jun-18,0,0,0,0,0,0,0,0.00,0
Government,CANARA BANK,01-Jun-09,157741,58592.04,15161,15161,10549,13916,10295,255462.00,55269
Government,CANARA BANK,01-Sep-09,255462,55269,18659,18497,12930.92,18227,11972.92,140157.00,201496
Government,CANARA BANK,01-Mar-10,42234,245529,11104,18228,13678.42,18850,16071.42,157719.00,279581
Government,CANARA BANK,01-Jun-10,157719,279581,11393,11093,18065.25,10887,17470.25,170967.00,274602
Government,CANARA BANK,01-Sep-10,170967,274602,88723,87744,86659,87564,86389,111274.00,103806
Government,CANARA BANK,01-Dec-10,111274,103806,12124,10142,158367,10142,10112,144270.00,129259
Government,CANARA BANK,01-Mar-11,144270,129259,23272,23268,61144.87,23267,61155.1,166982.00,205329
Government,CANARA BANK,01-Jun-11,166982,205329,40290,40244,26457.6,40244,26457.2,193206.00,122910.41
Government,CANARA BANK,01-Sep-11,193206,122910.41,36935,36723,29898.92,36723,29808.52,216690.00,321204.34
Government,CANARA BANK,01-Dec-11,216690,321204.34,21885,21885,34898.1,23552,34474.1,230875.00,270749.4
Government,CANARA BANK,01-Mar-12,230875,270749.4,51190,51190,19921,52276,43844,263459.00,427328
Government,CANARA BANK,01-Jun-12,263459,427328,111633,102603,101941.25,111742,87373.25,385101.00,654041
Government,CANARA BANK,01-Sep-12,385101,654041,483135,183971,303008.09,188945,173857.58,682891.00,784667.88
Government,CANARA BANK,01-Dec-12,682891,784667.88,,,,,,395342.00,456690.8
Government,CANARA BANK,01-Mar-13,395342,456690.8,100791,100784,73154.26,100784,72025.76,476130.00,520633.88
Government,CANARA BANK,01-Jun-13,476130,520633.88,561,554,530,554,605.5,493027.00,122561.81
Government,CANARA BANK,01-Sep-13,493027,122561.81,6191,11958,4041.86,12306,4963.89,265785.00,205843.77
Government,CANARA BANK,01-Dec-13,265785,205843.77,57629,56489,78028.81,63300,77885.69,382750.00,416788.81
Government,CANARA BANK,01-Mar-14,382750,416788.81,50867,73563,269214.36,73488,217263.25,311897.00,355869.71
Government,CANARA BANK,01-Jun-14,311897,355869.71,40041,78937,58672,81430,56391,467945.00,457092
Government,CANARA BANK,01-Sep-14,467945,457092,43154,91150,63457,79178,64022,1078352.00,693945.53
Government,CANARA BANK,01-Dec-14,1078352,693945.53,106,5115,2175,3621,2118,558958.00,479843
Government,CANARA BANK,01-Mar-15,558958,479843,,,,,,483997.00,599956.14
Government,CANARA BANK,01-Jun-15,483997,599956.14,259906,259878,605821.53,125576,457277.96,498239.00,615116
Government,CANARA BANK,01-Sep-15,498239,615116,272873,270667,404660,206515,276964,636108.00,821905
Government,CANARA BANK,01-Dec-15,636108,821905,148544,246875,213093.55,246843,208116.3,409914.00,442334.85
Government,CANARA BANK,01-Mar-16,674922,851518.85,170391,268426,232819.75,268210,226951.3,495549.00,526705.15
Government,CANARA BANK,01-Jun-16,495549,526705.15,268012,268012,235885.21,268034,235885.21,542137.00,514906.06
Government,CANARA BANK,01-Sep-16,542137,514906.06,138631,137174,240847,144648,123263.??,592283.00,883312
Government,CANARA BANK,01-Dec-16,59283,883312,113391,112777,97467,120308,100446,542137.00,514906
Government,CANARA BANK,01-Mar-17,,,,,,,,,
Government,CANARA BANK,01-Jun-17,,,,,,,,,
Government,CANARA BANK,01-Sep-17,601415,642129,151016,150823,225133,158385,133248,602536.00,663704
Government,CANARA BANK,01-Dec-17,602536,663704,157245,156236,227000.07,162960,135068.34,623579.00,685202.56
Government,CANARA BANK,01-Mar-18,623579,685202.56,1012,179516,247060,186112,161245,642238.00,703847
Government,CANARA BANK,01-Jun-18,642238,703847,151373,151135,262948,157089,132420,653028.00,724212
Government,CENTRAL BANK OF INDIA,01-Jun-09,11252,3047.45,113,113,41.92,77,33.52,10870.00,2816.97
Government,CENTRAL BANK OF INDIA,01-Sep-09,10870,2816.97,197,161,106.1,152,97.9,11631.00,3402.6
Government,CENTRAL BANK OF INDIA,01-Mar-10,12062,3576.63,1874,1874,1649,1869,1644,13544.00,5050.95
Government,CENTRAL BANK OF INDIA,01-Jun-10,13544,5050.95,405,405,206.82,398,197.86,13969.00,5328.17
Government,CENTRAL BANK OF INDIA,01-Sep-10,13969,5328.17,79,79,41.2,71,38.45,14023.00,5351.34
Government,CENTRAL BANK OF INDIA,01-Dec-10,14023,5351.34,95,95,75,87,64,14110.00,5415.69
Government,CENTRAL BANK OF INDIA,01-Mar-11,14110,5415.69,0,136,129.1,125,117.8,14241.00,5570.86
Government,CENTRAL BANK OF INDIA,01-Jun-11,14241,5570.86,0,138,150.81,137,138.04,32436.00,36130.04
Government,CENTRAL BANK OF INDIA,01-Sep-11,32436,36130.04,276,276,588.01,276,588.01,5836.00,4895.03
Government,CENTRAL BANK OF INDIA,01-Dec-11,5836,4895.03,0,139,171,139,158,5955.00,5023.03
Government,CENTRAL BANK OF INDIA,01-Mar-12,5955,5023.03,0,116,187,111,194,5748.00,5162.4
Government,CENTRAL BANK OF INDIA,01-Jun-12,5748,5162.4,196,196,242,201,246,5842.00,5319.6
Government,CENTRAL BANK OF INDIA,01-Sep-12,5842,5319.6,239,239,342,239,342,6047.00,5633.5
Government,CENTRAL BANK OF INDIA,01-Dec-12,6047,5633.5,,,,,,5839.00,5789.54
Government,CENTRAL BANK OF INDIA,01-Mar-13,5839,5789.54,182,182,259.15,182,257.15,5876.00,5962.6
Government,CENTRAL BANK OF INDIA,01-Jun-13,5876,5962.6,0,93,174.63,93,171.8,5906.00,6211.6
Government,CENTRAL BANK OF INDIA,01-Sep-13,5906,6211.6,0,104,126.9,104,124.7,6083.00,6339.9
Government,CENTRAL BANK OF INDIA,01-Dec-13,6083,6339.9,0,92,122,92,122,711.00,862.44
Government,CENTRAL BANK OF INDIA,01-Mar-14,711,862.44,169,169,385,169,345.7,6258.00,6758.3
Government,CENTRAL BANK OF INDIA,01-Jun-14,6258,6758.3,72,72,164,56,126,6266.00,6914.62
Government,CENTRAL BANK OF INDIA,01-Sep-14,6266,6914.62,41,41,84,41,82,6283.00,6968.6
Government,CENTRAL BANK OF INDIA,01-Dec-14,6283,6968.6,126,126,344,126,344,6398.00,7286
Government,CENTRAL BANK OF INDIA,01-Mar-15,6398,7286,,,,,,49908.00,80295
Government,CENTRAL BANK OF INDIA,01-Jun-15,49908,80295,6392,6392,9786,6392,9729,50040.00,80386
